DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMA,FECHA,DIA_SEMANA,RANGO_EDAD
CL 35 CR 14,Motociclista,herido,Choque,F,35,1,2018-01-14,Sunday,31-45
CORDIALIDAD KM 2 ULTRACEM,Pasajero,herido,Choque,M,7,1,2018-01-14,Sunday,<18
CR 8 CL 51B,AcompaÃ±ante,herido,Choque,M,46,1,2018-01-14,Sunday,46-60
CR 8 CL 51B,Motociclista,herido,Choque,M,49,1,2018-01-14,Sunday,46-60
AV CORDIALIDAD KM 1 VIA GALAPA,Peaton,herido,Atropello,M,24,1,2018-01-15,Monday,18-30
AV CORDIALIDAD KM 1 VIA GALAPA,Peaton,herido,Atropello,M,39,1,2018-01-15,Monday,31-45
CR 45B CL 94,Motociclista,herido,Choque,M,26,1,2018-01-15,Monday,18-30
CR 45B CL 94,Pasajero,herido,Choque,F,21,1,2018-01-15,Monday,18-30
CR 46 CL 64,Conductor,herido,Choque,M,40,1,2018-01-15,Monday,31-45
CR 46 CL 64,Pasajero,herido,Choque,F,21,1,2018-01-15,Monday,18-30
CR 46 CL 64,Pasajero,herido,Choque,F,46,1,2018-01-15,Monday,46-60
CR 46 CL 64,Pasajero,herido,Choque,F,47,1,2018-01-15,Monday,46-60
CR 46 CL 64,Pasajero,herido,Choque,F,57,1,2018-01-15,Monday,46-60
CR 46 CL 64,Pasajero,herido,Choque,M,21,2,2018-01-15,Monday,18-30
CR 46 CL 64,Pasajero,herido,Choque,M,35,1,2018-01-15,Monday,31-45
CR 9G CON CIRCUNVALAR,AcompaÃ±ante,herido,Choque,M,39,1,2018-01-15,Monday,31-45
CR 9G CON CIRCUNVALAR,Motociclista,herido,Choque,M,48,1,2018-01-15,Monday,46-60
VIA 40 CRA 67,AcompaÃ±ante,herido,Choque,M,22,1,2018-01-15,Monday,18-30
VIA 40 CRA 67,Motociclista,herido,Choque,M,30,1,2018-01-15,Monday,18-30
CL 45 CR 24,Motociclista,herido,Atropello,M,29,1,2018-01-16,Tuesday,18-30
CL 45 CR 24,Peaton,herido,Atropello,M,34,1,2018-01-16,Tuesday,31-45
CL 86 CR 51B,Peaton,herido,Atropello,M,48,1,2018-01-16,Tuesday,46-60
CR 43B CL 92,Peaton,herido,Atropello,M,62,1,2018-01-16,Tuesday,60+
CLLE 72 CRA 56,Motociclista,herido,Choque,M,39,1,2018-01-16,Tuesday,31-45
CR 38 CL 81,AcompaÃ±ante,herido,Choque,M,26,1,2018-01-16,Tuesday,18-30
CR 46 CL 92 Y 93,Ciclista,herido,Choque,F,46,1,2018-01-16,Tuesday,46-60
CR 6 CL 99,AcompaÃ±ante,herido,Choque,M,27,1,2018-01-16,Tuesday,18-30
CL 45 CR 30,Pasajero,herido,Choque,M,53,1,2018-01-17,Wednesday,46-60
VIA 40 85B 300,Motociclista,herido,Choque,M,54,1,2018-01-17,Wednesday,46-60
CALLE 19 CARRERA 1,Conductor,herido,Choque,M,51,1,2018-01-18,Thursday,46-60
CALLE 74 CRA 48,Motociclista,herido,Choque,M,35,1,2018-01-18,Thursday,31-45
CL 46 CR 10 SUR,Motociclista,herido,Choque,M,31,1,2018-01-18,Thursday,31-45
CL 72 CR 38B,Motociclista,herido,Choque,M,27,1,2018-01-18,Thursday,18-30
CR 41 CL 74,Pasajero,herido,Choque,M,20,1,2018-01-18,Thursday,18-30
CR 41 CL 74,Pasajero,herido,Choque,M,43,1,2018-01-18,Thursday,31-45
CR 41 CL 74,Pasajero,herido,Choque,M,59,1,2018-01-18,Thursday,46-60
CR 6 CL 90,AcompaÃ±ante,herido,Choque,M,13,1,2018-01-18,Thursday,<18
CR 6 CL 90,Motociclista,herido,Choque,M,42,1,2018-01-18,Thursday,31-45
CR 6 CL 90,Pasajero,herido,Choque,F,38,1,2018-01-18,Thursday,31-45
CR 6 CL 90,Pasajero,herido,Choque,M,32,1,2018-01-18,Thursday,31-45
CRA 57 CALLE 81,Motociclista,herido,Choque,M,27,1,2018-01-18,Thursday,18-30
CIRCUNVALAR CR 38Y 46,AcompaÃ±ante,herido,Choque,M,26,2,2018-01-19,Friday,18-30
CIRCUNVALAR CR 38Y 46,AcompaÃ±ante,herido,Choque,M,27,1,2018-01-19,Friday,18-30
CIRCUNVALAR CR 38Y 46,Conductor,herido,Choque,M,33,1,2018-01-19,Friday,31-45
CR 49C 80 264,Motociclista,herido,Choque,F,24,1,2018-01-19,Friday,18-30
CR 6 CL 75B,Conductor,herido,Choque,M,25,1,2018-01-19,Friday,18-30
CR 6 CL 75B,Motociclista,herido,Choque,M,29,1,2018-01-19,Friday,18-30
CL 110 CR 31,Motociclista,herido,Atropello,M,27,1,2018-01-20,Saturday,18-30
CL 110 CR 31,Peaton,herido,Atropello,F,33,1,2018-01-20,Saturday,31-45
CALLE 63B CARRERA 25,Motociclista,herido,Choque,M,27,1,2018-01-20,Saturday,18-30
CL 30 FRENTE AL 15 360,AcompaÃ±ante,herido,Choque,M,45,1,2018-01-20,Saturday,31-45
CL 30 FRENTE AL 15 360,Motociclista,herido,Choque,M,45,1,2018-01-20,Saturday,31-45
CL 30 1 245,Peaton,herido,Atropello,M,63,1,2018-01-21,Sunday,60+
AVENIDA CIRCUNVALAR CALLE 50-16,Conductor,herido,Choque,M,47,1,2018-01-21,Sunday,46-60
CL 37 ENTRE CR 13 Y 14 ENTRADA MANUELA BELTRAN,Ciclista,herido,Choque,M,27,1,2018-01-21,Sunday,18-30
CL 37 ENTRE CR 13 Y 14 ENTRADA MANUELA BELTRAN,Motociclista,muerto,Choque,M,40,1,2018-01-21,Sunday,31-45
CL 6 CR 46,AcompaÃ±ante,herido,Choque,F,35,1,2018-01-21,Sunday,31-45
CL 6 CR 46,AcompaÃ±ante,herido,Choque,M,6,1,2018-01-21,Sunday,<18
CL 6 CR 46,AcompaÃ±ante,herido,Choque,M,7,1,2018-01-21,Sunday,<18
CL 64 CR 62,Motociclista,herido,Choque,M,22,1,2018-01-21,Sunday,18-30
CR 28 CL 28,Motociclista,herido,Choque,M,29,1,2018-01-21,Sunday,18-30
CR 37 CL 81,Peaton,muerto,Atropello,M,39,1,2018-01-22,Monday,31-45
AVENIDA 110 CRA 38,Motociclista,herido,Choque,M,26,1,2018-01-22,Monday,18-30
CALLE 46 18-13,Motociclista,herido,Choque,M,44,1,2018-01-22,Monday,31-45
CL 17 CR 7B,AcompaÃ±ante,herido,Choque,M,22,1,2018-01-22,Monday,18-30
CLLE 68 CRA 24C,Motociclista,herido,Choque,M,36,1,2018-01-22,Monday,31-45
CR 24 CL 33,Motociclista,herido,Choque,M,19,1,2018-01-22,Monday,18-30
CR 24 CL 33,Pasajero,herido,Choque,M,28,1,2018-01-22,Monday,18-30
CR 8 CL 44,AcompaÃ±ante,herido,Choque,M,28,1,2018-01-22,Monday,18-30
VIA 40 CR 53B,Ciclista,herido,Choque,M,22,1,2018-01-22,Monday,18-30
CR 15 26 95,Peaton,herido,Atropello,M,49,1,2018-01-23,Tuesday,46-60
CRA 44 CALLE 35,Pasajero,herido,Caida Ocupante,M,19,1,2018-01-23,Tuesday,18-30
CALLE 45 CRA 11 SUR,AcompaÃ±ante,herido,Choque,M,26,1,2018-01-23,Tuesday,18-30
CALLE 45 CRA 11 SUR,Motociclista,herido,Choque,M,19,1,2018-01-23,Tuesday,18-30
CALLE 51 CRA 23,Conductor,herido,Choque,M,26,1,2018-01-23,Tuesday,18-30
CR 21B CL 68,Motociclista,herido,Choque,M,46,1,2018-01-23,Tuesday,46-60
CR 42G CL 85,Motociclista,herido,Choque,M,32,1,2018-01-23,Tuesday,31-45
CALLEC 110 CARRERA 9G,Peaton,herido,Atropello,F,18,1,2018-01-24,Wednesday,18-30
CALLE 30 CR 33,AcompaÃ±ante,herido,Choque,M,34,1,2018-01-24,Wednesday,31-45
CALLE 30 CR 33,Motociclista,herido,Choque,M,55,1,2018-01-24,Wednesday,46-60
CARRERA 15 SUR CALLE 73,Conductor,herido,Choque,M,30,1,2018-01-24,Wednesday,18-30
CL 69 CR 49,Motociclista,herido,Choque,M,48,1,2018-01-24,Wednesday,46-60
CR 47 CL 75,Pasajero,herido,Choque,M,27,1,2018-01-24,Wednesday,18-30
CR 49C CL 86,Motociclista,herido,Choque,M,34,1,2018-01-24,Wednesday,31-45
CR 88 CL 66,Motociclista,herido,Choque,M,18,1,2018-01-24,Wednesday,18-30
CALLE 61 CRA 23,AcompaÃ±ante,herido,Choque,F,33,1,2018-01-25,Thursday,31-45
CALLE 61 CRA 23,Motociclista,herido,Choque,M,47,1,2018-01-25,Thursday,46-60
CL 14 CR 15,AcompaÃ±ante,herido,Choque,F,58,1,2018-01-25,Thursday,46-60
CL 73C CR 24,Motociclista,herido,Choque,M,32,1,2018-01-25,Thursday,31-45
CR 10 CL 5,AcompaÃ±ante,herido,Choque,F,58,1,2018-01-25,Thursday,46-60
CR 58 CL 86,Motociclista,herido,Choque,M,30,1,2018-01-25,Thursday,18-30
VIA 40 CR 51,Motociclista,muerto,Choque,M,48,1,2018-01-25,Thursday,46-60
VIA CORDIALIDAD KM 1,Conductor,herido,Choque,M,39,1,2018-01-25,Thursday,31-45
CL 40 41 117,Peaton,herido,Atropello,M,68,1,2018-01-26,Friday,60+
CALLE 68 CRA 31,Pasajero,herido,Choque,F,78,1,2018-01-26,Friday,60+
CL 47 CR 26,Ciclista,herido,Choque,M,18,1,2018-01-26,Friday,18-30
CL 47C CR 27,Motociclista,herido,Choque,F,44,1,2018-01-26,Friday,31-45
CALLE 45 CARRERA 20,Motociclista,herido,Choque,M,38,1,2018-01-27,Saturday,31-45
CALLE 45 CARRERA 20,Pasajero,herido,Choque,M,33,1,2018-01-27,Saturday,31-45
CL 53 D CR 20,Motociclista,herido,Choque,M,42,1,2018-01-27,Saturday,31-45
CALLE 17 CRA 24,AcompaÃ±ante,herido,Choque,M,21,1,2018-01-28,Sunday,18-30
CALLE 17 CRA 24,Motociclista,herido,Choque,M,28,1,2018-01-28,Sunday,18-30
CL 17 CR 35,Motociclista,herido,Choque,M,30,1,2018-01-28,Sunday,18-30
CL 17 CR 35,Pasajero,herido,Choque,M,53,1,2018-01-28,Sunday,46-60
CL 30 CR 20,Motociclista,herido,Choque,M,26,1,2018-01-28,Sunday,18-30
AV CORDIALIDAD KM 1,AcompaÃ±ante,herido,Choque,M,25,1,2018-01-29,Monday,18-30
AV CORDIALIDAD KM 1,Conductor,herido,Choque,M,39,1,2018-01-29,Monday,31-45
AV CORDIALIDAD KM 1,Conductor,herido,Choque,M,54,1,2018-01-29,Monday,46-60
CALLE 84 CRA 13,Motociclista,herido,Choque,M,37,1,2018-01-29,Monday,31-45
CARRERA 14 CALLE 27,Motociclista,herido,Choque,M,26,1,2018-01-29,Monday,18-30
CARRERA 44B CALLE 99C,Conductor,herido,Choque,F,31,1,2018-01-29,Monday,31-45
CARRERA 47 84-42,Motociclista,herido,Choque,M,30,1,2018-01-29,Monday,18-30
CL 49 CR 3 SUR,AcompaÃ±ante,herido,Choque,M,51,1,2018-01-29,Monday,46-60
CL 49 CR 3 SUR,Conductor,herido,Choque,M,44,1,2018-01-29,Monday,31-45
CL 80 CR 66,Motociclista,herido,Choque,M,33,1,2018-01-29,Monday,31-45
CL 45 CR 7H,Peaton,herido,Atropello,M,18,1,2018-01-30,Tuesday,18-30
CALLE 91 CARRERA 49C,Conductor,herido,Choque,F,51,1,2018-01-30,Tuesday,46-60
CALLE 91 CARRERA 49C,Pasajero,herido,Choque,F,22,1,2018-01-30,Tuesday,18-30
CARRERA 51B CALLE 93-85,Conductor,herido,Choque,F,50,1,2018-01-30,Tuesday,46-60
CARRERA 51B CALLE 93-85,Conductor,herido,Choque,F,57,1,2018-01-30,Tuesday,46-60
CARRERA 51B CALLE 93-85,Pasajero,herido,Choque,F,19,1,2018-01-30,Tuesday,18-30
CARRERA 51B NÂ°96-43,Pasajero,herido,Choque,M,42,1,2018-01-30,Tuesday,31-45
CR 14 CL 56C,Motociclista,herido,Choque,F,23,1,2018-01-30,Tuesday,18-30
CARRERA 24 CON CALLE 46,Motociclista,herido,Choque,M,46,1,2018-01-31,Wednesday,46-60
CL 52 CR 42,Motociclista,herido,Choque,M,51,1,2018-01-31,Wednesday,46-60
CR 43 CL 60,Motociclista,herido,Choque,M,27,1,2018-01-31,Wednesday,18-30
CALLE 110 CARRERA 14-30,Motociclista,herido,Choque,M,35,1,2018-02-01,Thursday,31-45
CR 27B CL 70B,AcompaÃ±ante,herido,Choque,M,36,1,2018-02-01,Thursday,31-45
CALLE 90 CARRERA 6,Pasajero,herido,Caida Ocupante,M,68,1,2018-02-02,Friday,60+
CALLE 56 CARRERA 10,Motociclista,herido,Choque,M,34,1,2018-02-02,Friday,31-45
CARRERA 20 CALLE 40,Motociclista,herido,Choque,M,25,1,2018-02-02,Friday,18-30
CL 92 CR 52,AcompaÃ±ante,herido,Choque,F,41,1,2018-02-02,Friday,31-45
CARRERA 20 112E-34,Peaton,herido,Atropello,M,91,1,2018-02-03,Saturday,60+
CARRERA 28 CALLE 28,Motociclista,herido,Choque,M,41,1,2018-02-03,Saturday,31-45
CARRERA 28 CALLE 28,Pasajero,herido,Choque,M,21,1,2018-02-03,Saturday,18-30
CL 19 CR 1F,AcompaÃ±ante,herido,Choque,M,27,1,2018-02-03,Saturday,18-30
CL 19 CR 1F,Motociclista,herido,Choque,M,22,1,2018-02-03,Saturday,18-30
CL 96 CR 58,Motociclista,herido,Choque,M,25,1,2018-02-03,Saturday,18-30
AVENIDA CIRCUNVALAR CARRERA 2A SUR,Motociclista,herido,Choque,M,40,1,2018-02-04,Sunday,31-45
CL 45 CR 2E,Ciclista,muerto,Choque,M,38,1,2018-02-04,Sunday,31-45
CARRERA 52 100-105,Motociclista,herido,Choque,M,34,1,2018-02-05,Monday,31-45
CARRERA 54 CALLE 64,Motociclista,herido,Choque,F,48,1,2018-02-05,Monday,46-60
CARRERA 54 CALLE 64,Pasajero,herido,Choque,M,22,1,2018-02-05,Monday,18-30
CARRERA 8 DIAGONAL 5,Conductor,herido,Choque,M,29,1,2018-02-05,Monday,18-30
CARRERA 8 DIAGONAL 5,Pasajero,herido,Choque,M,16,1,2018-02-05,Monday,<18
CR 14 CL 43 Y 44,Motociclista,herido,Choque,M,21,1,2018-02-05,Monday,18-30
CR 14 CL 43 Y 44,Pasajero,herido,Choque,M,23,1,2018-02-05,Monday,18-30
CR 18 CL 53D,AcompaÃ±ante,herido,Choque,M,17,1,2018-02-05,Monday,<18
CR 18 CL 53D,Motociclista,herido,Choque,M,32,1,2018-02-05,Monday,31-45
CR 27 CL 106,Peaton,herido,Atropello,F,47,1,2018-02-06,Tuesday,46-60
CALLE 100 CARRERA 36,Pasajero,herido,Choque,M,29,1,2018-02-06,Tuesday,18-30
CALLE 110 CARRERA 6L3,Motociclista,herido,Choque,M,29,1,2018-02-06,Tuesday,18-30
CALLE 90 2 SUR-41,Motociclista,herido,Choque,F,35,1,2018-02-06,Tuesday,31-45
CARRERA 32 CALLE 56,Conductor,herido,Choque,M,22,1,2018-02-06,Tuesday,18-30
CARRERA 32 CALLE 56,Pasajero,herido,Choque,M,29,1,2018-02-06,Tuesday,18-30
CARRERA 5 CALLE 50A,Motociclista,herido,Choque,M,18,1,2018-02-06,Tuesday,18-30
CL 93 CR 6,Peaton,herido,Atropello,F,29,1,2018-02-07,Wednesday,18-30
CARRERA 30 CALLE 37,Motociclista,herido,Choque,M,41,1,2018-02-07,Wednesday,31-45
CL 34 CR 46,AcompaÃ±ante,herido,Choque,M,49,1,2018-02-07,Wednesday,46-60
CL 68 CR 64,Motociclista,herido,Choque,M,55,1,2018-02-07,Wednesday,46-60
AVENIDA CORDIALIDAD CARRERA 9,Peaton,herido,Atropello,F,18,1,2018-02-08,Thursday,18-30
AV CIRCUNVALAR FRENTE AL 46E 3 14,Conductor,herido,Choque,M,24,1,2018-02-08,Thursday,18-30
AV CIRCUNVALAR FRENTE AL 46E 3 14,Conductor,herido,Choque,M,30,1,2018-02-08,Thursday,18-30
CR 38 33 18,Motociclista,herido,Choque,M,22,1,2018-02-08,Thursday,18-30
VIA 40 FRENTE 73 290,AcompaÃ±ante,herido,Choque,M,26,1,2018-02-08,Thursday,18-30
VIA 40 FRENTE 73 290,Motociclista,herido,Choque,F,36,1,2018-02-08,Thursday,31-45
CR 36 CL 45,Peaton,herido,Atropello,M,40,1,2018-02-09,Friday,31-45
CALLE 76 CARRERA 47,AcompaÃ±ante,herido,Choque,M,25,1,2018-02-09,Friday,18-30
CALLE 76 CARRERA 47,AcompaÃ±ante,herido,Choque,M,35,1,2018-02-09,Friday,31-45
CALLE 76 CARRERA 47,AcompaÃ±ante,herido,Choque,M,36,1,2018-02-09,Friday,31-45
CALLE 76 CARRERA 47,Conductor,herido,Choque,M,36,1,2018-02-09,Friday,31-45
CARRERA 24 CALLE 47,Motociclista,herido,Choque,M,27,1,2018-02-09,Friday,18-30
CL 110 CR 38,Ciclista,herido,Choque,F,61,1,2018-02-09,Friday,60+
CR 8 CL 35,Motociclista,herido,Choque,M,21,1,2018-02-09,Friday,18-30
CL 45 CR 7G,Peaton,herido,Atropello,M,68,1,2018-02-10,Saturday,60+
CL 68 CR 1D,Motociclista,herido,Choque,M,25,1,2018-02-10,Saturday,18-30
CL 98 CR 6,Motociclista,herido,Choque,M,33,1,2018-02-10,Saturday,31-45
CR 15 CL 26,AcompaÃ±ante,herido,Choque,M,30,1,2018-02-10,Saturday,18-30
CR 20 CL 47,Motociclista,herido,Choque,M,39,1,2018-02-10,Saturday,31-45
CR 21 CL 50,Motociclista,herido,Choque,M,24,1,2018-02-10,Saturday,18-30
CR 47 CL 75,Conductor,herido,Volcamiento,M,17,1,2018-02-10,Saturday,<18
CR 47 CL 75,Conductor,herido,Volcamiento,M,50,1,2018-02-10,Saturday,46-60
CR 47 CL 75,Pasajero,muerto,Volcamiento,M,48,1,2018-02-10,Saturday,46-60
CL 117 CR 20,Motociclista,herido,Atropello,M,25,1,2018-02-11,Sunday,18-30
CL 117 CR 20,Peaton,herido,Atropello,M,31,1,2018-02-11,Sunday,31-45
CALLE 45B CARRERA 7C,AcompaÃ±ante,herido,Choque,M,20,1,2018-02-11,Sunday,18-30
CALLE 45B CARRERA 7C,Motociclista,herido,Choque,M,24,1,2018-02-11,Sunday,18-30
CARRERA 43B 85,Pasajero,herido,Choque,M,15,1,2018-02-11,Sunday,<18
CARRERA 43B 85,Pasajero,herido,Choque,M,19,1,2018-02-11,Sunday,18-30
CARRERA 43B 85,Pasajero,herido,Choque,M,20,1,2018-02-11,Sunday,18-30
CLK 59 CR 45,Conductor,herido,Choque,M,57,1,2018-02-11,Sunday,46-60
CLK 59 CR 45,Pasajero,herido,Choque,M,30,1,2018-02-11,Sunday,18-30
CLK 59 CR 45,Pasajero,herido,Choque,M,47,1,2018-02-11,Sunday,46-60
CLK 59 CR 45,Pasajero,herido,Choque,M,55,1,2018-02-11,Sunday,46-60
